23,50 MKD,msu-info@msuskopje.org.mk,yes,yes,42.0038889,21.4327778,Музеј на современата уметност,Tu-Sa 10:00-15:00; Su 09:00-13:00,+389 (0)2 3110 123,"Самоилова 17 Скопје, 1000 T",https://msu.mk/home/,Q3329592
26,50 MKD,contact@nationalgallery.mk,yes,yes,41.998921,21.43665,Национална галерија „Даут-пашин амам“,Tu-Su 10:00-18:00,"+389(0) 2 3126-856

","Rd. Jordan Mijalkov 18 1000 Skopje

",https://nationalgallery.mk/,Unknown
27,150 MKD,mmb@mmb.org.mk,yes,yes,41.9980895,21.4227853,Музеј на македонската борба,10:00 - 18:00,+389 02 3 256 668,11 Март,http://mmb.org.mk/w/,Q986531
28,Unknown,info@holocaustfund.org.mk,Unknown,yes,41.9984442,21.4307803,Меморијален центар на холокаустот на Евреите од Македонија,09:00 - 19:00,389 2 3298 025,"Самоилова 2, Скопје 1000",https://www.holocaustfund.org/,Q3333150
29,70 MKD,Unknown,yes,yes,41.9910127,21.4289376,Музеј на Град Скопје,"5:00PM · Opens 9:00AM Sun
",02 311 4742,"Свети Кирил и Методиj, Skopje 1000",http://www.mgs.org.mk/,Q922143
30,50 MKD,info@memorialhouseofmotherteresa.org,no,yes,41.993824,21.4282968,Спомен куќа на Мајка Тереза,"Mo-Fr 09:00-20:00, Sa-Su 09:00-14:00",023290674,"Macedonia St 1000, Skopje 1000",http://www.memorialhouseofmotherteresa.org/,Q587617
31,Unknown,opve@veles.gov.mk,Unknown,no,41.3450358,21.5523872,11 Октомври 1941,10:00 - 18:00,+389 43 232 406,„Илинденска“ б.б. Зградата,veles.gov.mk,Unknown
32,Unknown,Unknown,Unknown,yes,41.3756014,21.2272505,Музеј на НОВ,8AM - 5PM,Unknown,"96GW+67P, 517, Krushevo",Unknown,Unknown
33,Unknown,Unknown,Unknown,wlan,41.377485,21.2458393,Македониум,Opens 7AM Monday,Unknown,"96GX+X9V, Krushevo",https://www.spomenikdatabase.org/krusevo,Q2717956
34,50 MKD,Unknown,yes,yes,40.9940773,20.7975752,Залив на Коските,Tu-Su 09:00-16:15,"+389(0) 2 3126-856

",XRV2+J3 Peshtani,Unknown,Unknown
35,150 MKD,Unknown,Unknown,yes,41.3755868,21.22768,Музеј на Илинденското востание и Крушевската Република,Opens 9AM - 5PM,Unknown,Димитар Бербероски - Таќа Бербер,Unknown,Q12287450
