Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
56.0,male,71477,bachelor,9,skiing,2477,urban,175.0,267,summer,0,1,1
69.0,male,88740,master,1,swimming,4777,suburban,,190,fall,0,1,0
46.0,female,46562,master,0,skiing,1469,urban,71.0,280,winter,0,0,1
32.0,non-binary,99044,high school,6,hiking,1482,rural,31.0,255,summer,1,0,1
60.0,female,106583,high school,5,sunbathing,516,suburban,23.0,151,winter,1,1,0
25.0,male,110588,doctorate,3,sunbathing,2895,urban,6.0,47,fall,0,1,0
38.0,male,22245,bachelor,1,swimming,4994,rural,,225,fall,0,1,0
56.0,non-binary,109411,bachelor,8,sunbathing,3656,urban,210.0,166,winter,1,0,0
36.0,male,22531,master,6,swimming,2408,suburban,218.0,263,summer,1,1,0
40.0,non-binary,90840,,1,swimming,4044,rural,271.0,15,summer,1,1,0
28.0,female,42036,master,4,skiing,3495,suburban,159.0,51,spring,0,1,0
,non-binary,97902,high school,3,skiing,1747,urban,33.0,21,winter,1,0,0
41.0,female,52794,bachelor,7,hiking,1591,suburban,,254,summer,1,1,1
53.0,female,93042,bachelor,9,sunbathing,2221,rural,211.0,148,fall,0,1,0
57.0,male,65802,high school,3,hiking,2607,suburban,36.0,258,fall,0,0,1
41.0,female,99810,master,2,skiing,2830,urban,,209,fall,1,1,1
20.0,male,112635,bachelor,7,sunbathing,675,rural,280.0,211,winter,0,0,0
39.0,non-binary,52469,doctorate,4,hiking,4979,rural,253.0,50,summer,0,1,0
19.0,non-binary,69522,bachelor,5,sunbathing,4028,rural,162.0,293,fall,0,0,0
41.0,female,46992,doctorate,1,hiking,803,urban,207.0,162,summer,0,0,0
61.0,non-binary,107749,high school,5,hiking,4140,urban,296.0,169,fall,0,1,0
47.0,female,97814,master,7,skiing,3818,suburban,298.0,41,spring,1,1,0
55.0,non-binary,52222,high school,1,skiing,635,suburban,263.0,241,fall,1,1,0
,female,82148,,1,swimming,862,rural,164.0,1,winter,0,1,0
38.0,female,112172,master,4,skiing,3424,urban,234.0,54,spring,1,0,0
50.0,non-binary,43152,master,3,skiing,3923,urban,243.0,161,summer,1,1,0
29.0,non-binary,98433,high school,3,sunbathing,1823,rural,48.0,185,spring,1,0,0
39.0,non-binary,46417,high school,4,skiing,2850,suburban,220.0,230,summer,0,1,1
61.0,non-binary,29865,bachelor,6,swimming,3940,rural,256.0,291,summer,0,1,0
42.0,female,83719,doctorate,1,swimming,948,rural,201.0,24,spring,1,0,0
66.0,female,46795,,2,hiking,4703,suburban,165.0,294,spring,1,0,1
44.0,non-binary,92148,master,3,sunbathing,2510,suburban,30.0,125,fall,1,0,0
59.0,non-binary,34116,doctorate,5,hiking,1714,rural,,90,summer,1,0,0
45.0,male,58179,high school,3,skiing,4382,suburban,46.0,124,spring,0,0,1
33.0,female,73175,high school,9,skiing,2385,rural,118.0,296,spring,1,0,1
